tarih,sicaklik_c,yagis_mm,buharlaşma_mm
1940-01-01,-3.5013123,1.7852783,0.61793625
1940-02-01,2.2860413,1.3580322,1.3690107
1940-03-01,1.122467,1.0204315,2.2387617
1940-04-01,10.072174,2.207756,3.649503
1940-05-01,13.57486,1.5087128,4.431065
1940-06-01,19.233551,1.5525818,5.809147
1940-07-01,22.372711,0.45585632,6.5253267
1940-08-01,23.314972,0.049591064,6.1785502
1940-09-01,17.4711,0.1335144,4.685953
1940-10-01,13.48587,0.5207062,2.8997064
1940-11-01,7.902008,0.62942505,1.5063249
1940-12-01,1.8111877,2.565384,0.7276721
1941-01-01,1.5853577,1.7757416,0.8776672
1941-02-01,3.5917053,0.7247925,1.6597211
1941-03-01,3.1297913,1.0719299,2.2225156
1941-04-01,10.091949,1.9207001,3.6741607
1941-05-01,15.9339905,0.6980896,5.6342783
1941-06-01,20.142975,1.3465881,6.0504565
1941-07-01,23.652374,0.17547607,6.836392
1941-08-01,22.636993,0.04196167,6.4561887
1941-09-01,17.334991,0.6599426,4.3518953
1941-10-01,9.48111,0.8354187,2.4594963
1941-11-01,5.3711243,0.9059906,1.3126582
1941-12-01,-2.5520935,1.2588501,0.6791316
1942-01-01,-5.576996,1.1558533,0.58340657
1942-02-01,2.335846,0.9326935,1.3198481
1942-03-01,4.0035706,1.9016266,1.8334911
1942-04-01,9.726227,0.7801056,3.7313886
1942-05-01,16.527985,1.0414124,5.340997
1942-06-01,21.381989,0.49591064,6.8310986
1942-07-01,22.670563,0.047683716,7.103864
1942-08-01,21.927643,1.0585785,5.9511476
1942-09-01,17.83255,0.08010864,4.7351494
1942-10-01,12.150665,0.6275177,2.731379
1942-11-01,6.4376526,1.2302399,1.3123043
1942-12-01,1.3282776,0.4310608,0.7494204
1943-01-01,-1.9566345,3.001213,0.725206
1943-02-01,-1.2561951,0.35095215,1.222223
1943-03-01,1.2516174,1.1081696,1.9374862
1943-04-01,7.592926,1.9283295,2.9544644
1943-05-01,14.771637,0.84495544,4.966687
1943-06-01,19.562286,0.30899048,6.580632
1943-07-01,22.581207,0.036239624,7.235702
1943-08-01,22.916656,0.0,6.805215
1943-09-01,18.2836,0.18310547,4.808936
1943-10-01,14.841217,0.49209595,3.0826814
1943-11-01,9.078033,0.44631958,1.6557537
1943-12-01,2.2262268,1.0509491,0.8807555
1944-01-01,-3.403656,1.6975403,0.6466657
1944-02-01,0.48184204,0.8163452,1.4344156
1944-03-01,5.419098,1.247406,2.6083252
1944-04-01,10.04776,0.9613037,3.685359
1944-05-01,13.050201,1.5468597,4.7106037
1944-06-01,19.536285,0.7305145,5.9624763
1944-07-01,22.828156,0.01335144,7.1339755
1944-08-01,20.792755,0.009536743,6.3928514
1944-09-01,17.332916,0.0019073486,4.7221594
1944-10-01,14.228058,0.30708313,2.9499419
1944-11-01,6.9164124,0.70762634,1.5132539
1944-12-01,1.4798889,1.8844604,0.69870055
1945-01-01,-2.587738,1.745224,0.69228935
1945-02-01,-2.938568,0.9317398,1.054801
1945-03-01,0.23672485,0.48828125,2.0400584
1945-04-01,7.4911194,1.1291504,3.2942667
1945-05-01,16.432281,0.40245056,5.456988
1945-06-01,18.641998,0.77438354,6.0394144
1945-07-01,22.347809,0.011444092,7.276274
1945-08-01,23.771881,0.030517578,6.820705
1945-09-01,20.170319,0.118255615,5.062569
1945-10-01,11.959381,0.18692017,2.9770284
1945-11-01,6.9825745,1.6412735,1.543358
1945-12-01,1.0948792,1.0166168,0.7220581
1946-01-01,-1.1370544,0.44250488,0.9100623
1946-02-01,-1.3299255,2.3880005,1.1492223
1946-03-01,3.4571838,1.8806458,1.9233749
1946-04-01,9.218903,1.1749268,3.3356547
1946-05-01,13.609283,2.6683807,4.044555
1946-06-01,18.036285,1.3332367,5.386844
1946-07-01,21.074371,0.28038025,6.9910064
1946-08-01,22.206207,0.0,6.7047586
1946-09-01,19.421051,0.07247925,5.143892
1946-10-01,11.094513,0.9651184,2.570413
1946-11-01,9.661163,0.33187866,1.8503554
1946-12-01,1.4051819,1.7852783,0.7392652
1947-01-01,-0.94662476,2.0656586,0.6722026
1947-02-01,1.7640686,1.1062622,1.368165
1947-03-01,8.1024475,0.93078613,2.760224
1947-04-01,11.649811,0.42915344,4.33708
1947-05-01,16.098297,1.0242462,5.0474553
1947-06-01,20.090973,1.1940002,6.038964
1947-07-01,23.360748,0.3452301,6.8285427
1947-08-01,22.984406,0.01335144,6.586712
1947-09-01,17.934723,0.61798096,4.5767093
1947-10-01,11.693512,0.5893707,2.8429105
1947-11-01,7.2635803,1.6098022,1.2660809
1947-12-01,4.0169983,0.5426407,0.95527244
1948-01-01,2.7870178,0.6465912,1.0305345
1948-02-01,-0.15560913,2.286911,1.087606
1948-03-01,-1.5943298,1.5449524,1.6301535
1948-04-01,7.4913635,3.045082,2.860468
1948-05-01,13.62442,1.7738342,4.0680842
1948-06-01,18.451813,0.5607605,5.630683
1948-07-01,22.29361,0.0038146973,7.1645045
1948-08-01,22.655792,0.0076293945,6.458573
1948-09-01,18.323395,0.0705719,4.6243296
1948-10-01,11.817535,0.29182434,2.7198343
1948-11-01,5.6788635,0.9365082,1.7025955
1948-12-01,-4.444916,1.2893677,0.5043745
1949-01-01,-5.79599,1.5411377,0.4638061
1949-02-01,-5.141693,0.7247925,0.85259604
1949-03-01,0.65322876,2.3326874,1.3944991
1949-04-01,5.5885315,1.7375946,2.8059967
1949-05-01,14.734528,0.5016327,5.074587
1949-06-01,19.09732,0.2193451,6.5039434
1949-07-01,20.72232,0.022888184,6.610926
1949-08-01,19.834015,0.0,6.2762723
1949-09-01,14.703766,0.705719,3.6456585
1949-10-01,12.67691,0.21743774,2.9334016
1949-11-01,9.314728,0.3414154,1.7671175
1949-12-01,2.9864807,1.2435913,0.8712262
1950-01-01,-4.1929626,1.1024475,0.7972121
1950-02-01,-0.60873413,0.47397614,1.433406
1950-03-01,5.2831116,1.8529892,2.1999552
1950-04-01,13.773834,0.7133484,4.238237
1950-05-01,14.962799,2.281189,4.0477777
1950-06-01,18.935455,0.2861023,6.163169
1950-07-01,22.15567,0.019073486,7.2877145
1950-08-01,21.601227,0.024795532,6.3474364
1950-09-01,20.805084,0.051498413,5.053829
1950-10-01,11.301178,0.63323975,2.7975104
1950-11-01,7.0292053,0.78964233,1.3973601
1950-12-01,4.559723,0.45013428,0.87461996
1951-01-01,2.2980042,1.3284683,1.0034964
1951-02-01,4.2931213,0.9279251,1.5838891
1951-03-01,8.4149475,1.2931824,2.606567
1951-04-01,12.089264,1.0662079,3.7675276
1951-05-01,16.297516,1.0547638,5.1353574
1951-06-01,19.308746,0.8506775,5.6160984
1951-07-01,22.59134,0.35476685,6.664969
1951-08-01,23.378082,0.10871887,6.30201
1951-09-01,19.03653,0.1449585,4.741475
1951-10-01,10.034332,1.4381409,1.9988046
1951-11-01,7.3717346,0.7839203,1.4560223
1951-12-01,-1.0464783,0.8163452,0.69733334
1952-01-01,1.9635315,0.6933212,0.9475425
1952-02-01,2.945465,1.2397766,1.5477948
1952-03-01,3.6026917,1.5830994,2.2820382
1952-04-01,10.969147,1.0089874,3.8424358
1952-05-01,14.304718,1.8081665,4.496362
1952-06-01,18.533356,0.8468628,5.8064947
1952-07-01,22.3461,0.12207031,6.832283
1952-08-01,23.649567,0.09536743,6.5557995
1952-09-01,21.432281,0.08201599,5.320162
1952-10-01,14.813019,0.17356873,3.183853
1952-11-01,8.146881,1.1053085,1.486279
1952-12-01,5.077179,1.8920898,0.9121709
1953-01-01,1.8421936,1.666069,0.88865685
1953-02-01,2.8009338,1.0795593,1.656983
1953-03-01,-1.3130798,1.247406,1.6993917
1953-04-01,9.985504,1.8882751,3.213022
1953-05-01,14.171539,1.5583038,4.274938
1953-06-01,19.255035,1.0032654,5.6573563
1953-07-01,22.015778,0.061035156,7.04591
1953-08-01,22.758698,0.011444092,6.291017
1953-09-01,17.038239,0.31471252,4.635215
1953-10-01,12.707672,0.120162964,2.919998
1953-11-01,2.044342,1.6975403,1.0957644
1953-12-01,-3.5916443,1.2216568,0.57664144
1954-01-01,-2.519867,1.3465881,0.71605295
1954-02-01,0.99282837,1.2073517,1.1776053
1954-03-01,7.277008,1.4209747,2.173219
1954-04-01,8.401764,1.9607544,2.8843544
1954-05-01,15.098663,1.4514923,4.665144
